год,добыча полезных ископаемых,строительство,здравоохранение и социальные услуги
2000,5940.2,2639.8,1333.3
2001,9099.2,3859.3,1959.9
2002,11080.9,4806.9,3141.3
2003,13912.4,6176.7,3662.6
2004,16841.7,7304.7,4612.0
2005,19726.9,9042.8,5905.6
2006,23145.2,10869.2,8059.9
2007,28107.5,14333.4,10036.6
2008,33206.1,18574.0,13048.6
2009,35363.4,18122.2,14819.5
2010,39895.0,21171.7,15723.8
2011,45132.0,23682.0,17544.5
2012,50400.6,25950.6,20640.7
2013,54161.2,27701.4,24438.6
2014,58959,29354,27068
2015,63695,29960,28179
2016,69936,32332,29742
2017,74474.1,33677.9,31980.3
2018,83178,38518,40027
2019,89343.7,42629.9,43122.1
2020,95359,44738,49532
2021,103473.5,51944.2,50690.1
2022,118375.7,60849.5,55419.6
2023,130825.6,68944.4,61485.5
