год,добыча полезных ископаемых,строительство,здравоохранение и социальные услуги,уровень инфляции,добыча с инфляцией,строительство с инфляцией,здравоохранение с инфляцией
2000,5940.20,2639.80,1333.30,0.00,5940.20,2639.80,1333.30
2001,9099.20,3859.30,1959.90,18.58,7408.57,3142.24,1595.75
2002,11080.90,4806.90,3141.30,15.06,9412.12,4082.98,2668.22
2003,13912.40,6176.70,3662.60,11.99,12244.30,5436.11,3223.45
2004,16841.70,7304.70,4612.00,11.74,14864.48,6447.13,4070.55
2005,19726.90,9042.80,5905.60,10.91,17574.70,8056.23,5261.30
2006,23145.20,10869.20,8059.90,9.00,21062.13,9890.97,7334.51
2007,28107.50,14333.40,10036.60,11.87,24771.14,12632.03,8845.26
2008,33206.10,18574.00,13048.60,13.28,28796.33,16107.37,11315.75
2009,35363.40,18122.20,14819.50,8.80,32251.42,16527.45,13515.38
2010,39895.00,21171.70,15723.80,8.78,36392.22,19312.82,14343.25
2011,45132.00,23682.00,17544.50,6.10,42378.95,22237.40,16474.29
2012,50400.60,25950.60,20640.70,6.58,47084.24,24243.05,19282.54
2013,54161.20,27701.40,24438.60,6.45,50667.80,25914.66,22862.31
2014,58959.00,29354.00,27068.00,11.36,52261.26,26019.39,23993.08
2015,63695.00,29960.00,28179.00,12.91,55471.98,26092.16,24541.09
2016,69936.00,32332.00,29742.00,5.38,66173.44,30592.54,28141.88
2017,74474.10,33677.90,31980.30,2.52,72597.35,32829.22,31174.40
2018,83178.00,38518.00,40027.00,4.27,79626.30,36873.28,38317.85
2019,89343.70,42629.90,43122.10,3.05,86618.72,41329.69,41806.88
2020,95359.00,44738.00,49532.00,4.91,90676.87,42541.36,47099.98
2021,103473.50,51944.20,50690.10,8.39,94792.07,47586.08,46437.20
2022,118375.70,60849.50,55419.60,11.92,104265.32,53596.24,48813.58
2023,130825.60,68944.40,61485.50,7.42,121118.34,63828.73,56923.28
